JourneyID,CustomerID,ProductID,VisitDate,Stage,Action,Duration,CustomerName,Email,Gender,Age,GeographyID,ProductName,Category,Price,ReviewID,ReviewDate,Rating,ReviewText
1,64,18,2024-06-10,Checkout,Drop-off,166.53488372093022,Sarah Martinez,sarah.martinez@example.com,Female,62,7,Volleyball,Sports,42.8,,,,
2,94,11,2025-07-09,Checkout,Drop-off,166.53488372093022,Jane Anderson,jane.anderson@example.com,Male,48,7,Ski Boots,Sports,340.2,,,,
3,34,8,2024-06-14,ProductPage,View,235.0,Daniel Miller,daniel.miller@example.com,Male,57,3,Football Helmet,Sports,44.75,,,,
4,33,18,2025-05-28,Checkout,Drop-off,166.53488372093022,David Thomas,david.thomas@example.com,Male,22,4,Volleyball,Sports,42.8,,,,
5,91,10,2023-02-11,Homepage,Click,156.0,John Brown,john.brown@example.com,Female,62,4,Golf Clubs,Sports,81.59,,,,
6,54,11,2025-12-19,Homepage,View,264.0,Michael Gonzalez,michael.gonzalez@example.com,Female,24,5,Ski Boots,Sports,340.2,,,,
7,80,4,2023-08-25,Homepage,View,298.0,Laura Jones,laura.jones@example.com,Female,25,6,Dumbbells,Sports,26.21,,,,
8,99,10,2025-07-03,ProductPage,View,287.0,Laura Hernandez,laura.hernandez@example.com,Male,41,5,Golf Clubs,Sports,81.59,,,,
9,31,4,2025-06-13,ProductPage,View,278.0,Daniel Jones,daniel.jones@example.com,Male,33,10,Dumbbells,Sports,26.21,,,,
10,44,16,2025-04-23,ProductPage,View,30.0,Olivia Brown,olivia.brown@example.com,Female,59,9,Kayak,Sports,259.4,,,,
11,23,12,2023-08-22,Checkout,Drop-off,166.53488372093022,Isabella Garcia,isabella.garcia@example.com,Female,37,5,Ice Skates,Sports,37.56,,,,
12,97,12,2023-07-28,ProductPage,View,227.0,Emily Rodriguez,emily.rodriguez@example.com,Female,51,3,Ice Skates,Sports,37.56,,,,
13,83,5,2024-06-20,Homepage,View,223.0,Emily Jones,emily.jones@example.com,Male,20,9,Soccer Ball,Sports,41.26,,,,
14,14,13,2025-11-01,ProductPage,View,13.0,Olivia Wilson,olivia.wilson@example.com,Male,60,4,Swim Goggles,Sports,145.97,,,,
15,9,1,2025-11-04,ProductPage,View,292.0,Emily Thomas,emily.thomas@example.com,Male,29,10,Running Shoes,Sports,223.75,,,,
16,14,16,2024-07-17,Homepage,View,46.0,Olivia Wilson,olivia.wilson@example.com,Male,60,4,Kayak,Sports,259.4,,,,
17,67,2,2025-12-11,Homepage,View,185.0,Alex Johnson,alex.johnson@example.com,Female,56,4,Fitness Tracker,Sports,196.68,,,,
18,70,15,2025-10-13,Homepage,View,191.0,James Garcia,james.garcia@example.com,Female,31,7,Climbing Rope,Sports,410.17,,,,
19,9,1,2024-08-15,Homepage,View,187.0,Emily Thomas,emily.thomas@example.com,Male,29,10,Running Shoes,Sports,223.75,,,,
20,44,18,2024-02-19,productpage,View,154.0,Olivia Brown,olivia.brown@example.com,Female,59,9,Volleyball,Sports,42.8,,,,
21,58,20,2024-03-07,Checkout,Drop-off,166.53488372093022,Jane Williams,jane.williams@example.com,Male,34,10,Boxing Gloves,Sports,262.32,,,,
22,12,1,2025-11-19,Homepage,Click,20.0,James Lopez,james.lopez@example.com,Female,43,7,Running Shoes,Sports,223.75,,,,
23,58,1,2023-07-05,Homepage,View,48.0,Jane Williams,jane.williams@example.com,Male,34,10,Running Shoes,Sports,223.75,,,,
24,77,6,2025-06-25,Checkout,Drop-off,166.53488372093022,David Lopez,david.lopez@example.com,Male,53,4,Tennis Racket,Sports,36.07,,,,
25,75,12,2023-11-23,ProductPage,View,239.0,David Smith,david.smith@example.com,Female,43,6,Ice Skates,Sports,37.56,,,,
26,78,20,2024-04-17,Homepage,View,129.0,Olivia Smith,olivia.smith@example.com,Female,24,8,Boxing Gloves,Sports,262.32,,,,
27,36,9,2024-08-10,Homepage,View,214.0,Emma Johnson,emma.johnson@example.com,Female,63,3,Baseball Glove,Sports,327.36,,,,
28,1,20,2025-09-26,ProductPage,View,64.0,Emma Anderson,emma.anderson@example.com,Male,50,2,Boxing Gloves,Sports,262.32,,,,
29,12,17,2025-06-01,Homepage,View,205.0,James Lopez,james.lopez@example.com,Female,43,7,Surfboard,Sports,275.43,,,,
30,48,2,2023-05-03,ProductPage,View,242.0,Alex Gonzalez,alex.gonzalez@example.com,Female,48,7,Fitness Tracker,Sports,196.68,,,,
31,81,19,2023-04-04,Homepage,View,130.0,Emily Wilson,emily.wilson@example.com,Male,38,9,Hockey Stick,Sports,173.83,,,,
32,67,11,2023-09-04,Checkout,Drop-off,166.53488372093022,Alex Johnson,alex.johnson@example.com,Female,56,4,Ski Boots,Sports,340.2,,,,
33,2,5,2025-08-10,Homepage,View,26.0,Sarah Brown,sarah.brown@example.com,Female,37,4,Soccer Ball,Sports,41.26,,,,
34,55,15,2023-10-26,Homepage,View,233.0,Emily Lopez,emily.lopez@example.com,Female,60,1,Climbing Rope,Sports,410.17,,,,
35,60,19,2023-06-21,homepage,Click,162.0,John Thomas,john.thomas@example.com,Male,53,6,Hockey Stick,Sports,173.83,,,,
36,17,2,2023-11-20,Checkout,Purchase,137.0,Daniel Thomas,daniel.thomas@example.com,Female,46,2,Fitness Tracker,Sports,196.68,,,,
